관리번호,수종,수목위도,수목경도,추정높이_m,추정너비_m
05-대현로-가-0188,왕벚나무,35.88701519,128.6023861,2.5,1.0
05-연암로-가-0323,왕벚나무,35.88832401,128.6016959,2.5,1.0
05-대현로-가-0184,양버즘나무,35.88647482,128.6025235,2.5,1.0
05-대현로-가-0106,양버즘나무,35.88200557,128.6115981,2.5,1.0
05-대현로-가-0032,소나무,35.88461685,128.6049957,2.5,1.0
05-대현로-가-0041,양버즘나무,35.884205,128.6056769,2.5,1.0
05-대현로-가-0031,양버즘나무,35.88464737,128.604951,2.5,1.0
05-대구체육관로-가-0041,은행나무,35.89136154,128.6019405,2.5,1.0
05-대구체육관로-가-0013,은행나무,35.89085007,128.6016043,2.5,1.0
05-대학로-가-0292,은행나무,35.88846348,128.6023274,2.5,1.0
05-대학로-가-0277,은행나무,35.88939259,128.6032743,2.5,1.0
05-대학로-가-0276,은행나무,35.88942482,128.603335,2.5,1.0
05-대학로-가-0250,은행나무,35.89099223,128.6061407,2.5,1.0
05-대학로-가-0077,은행나무,35.89168843,128.6080321,2.5,1.0
05-대학로-가-0024,은행나무,35.8896216,128.6040046,2.5,1.0
05-연암로-가-0317,귀룽나무,35.88878889,128.6015419,2.5,1.0
05-대현로-가-0135,양버즘나무,35.88340161,128.6073294,2.5,1.0
05-대현로-가-0023,양버즘나무,35.88513538,128.6041522,2.5,1.0
05-대학로-가-0231,은행나무,35.89193927,128.6080627,2.5,1.0
05-대학로-가-0038,은행나무,35.89019812,128.6050305,2.5,1.0
05-대학로-가-0076,은행나무,35.89164223,128.6079436,2.5,1.0
05-경대로-가-0177,은행나무,35.88274384,128.6124268,2.5,1.0
05-대현로-가-0095,은행나무,35.88167579,128.6117746,2.5,1.0
05-대현로-가-0112,양버즘나무,35.88235094,128.6103531,2.5,1.0
05-대학로-가-0293,은행나무,35.88840178,128.6022673,2.5,1.0
05-대학로-가-0271,은행나무,35.88971805,128.6037173,2.5,1.0
05-대학로-가-0285,은행나무,35.88889164,128.6027594,2.5,1.0
05-대학로-가-0003,은행나무,35.88815157,128.6023617,2.5,1.0
05-칠성시장로-가-0083,이팝나무,35.88002014,128.6017914,2.5,1.0
05-연암로-가-0006,왕벚나무,35.88855589,128.601871,2.5,1.0
05-대현로-가-0178,양버즘나무,35.88603232,128.6030066,2.5,1.0
05-대현로-가-0174,양버즘나무,35.88586166,128.603287,2.5,1.0
05-대현로-가-0139,양버즘나무,35.88359082,128.607021,2.5,1.0
05-대현로-가-0143,양버즘나무,35.88381472,128.6066535,2.5,1.0
05-대현로-가-0140,양버즘나무,35.88366479,128.6068959,2.5,1.0
05-대현로-가-0087,양버즘나무,35.88199997,128.6110229,2.5,1.0
05-대현로-가-0078,양버즘나무,35.88239062,128.6095963,2.5,1.0
05-대현로-가-0058,양버즘나무,35.88306808,128.6075745,2.5,1.0
05-대현로-가-0063,양버즘나무,35.88285065,128.6080475,2.5,1.0
05-대구체육관로-가-0047,은행나무,35.89099721,128.6015202,2.5,1.0
05-대구체육관로-가-0018,은행나무,35.89131815,128.602141,2.5,1.0
05-대구체육관로-가-0027,은행나무,35.89178673,128.6026769,2.5,1.0
05-대학로-가-0262,은행나무,35.89012938,128.6044055,2.5,1.0
05-대학로-가-0215,은행나무,35.8930249,128.6096752,2.5,1.0
05-대학로-가-0037,은행나무,35.89016086,128.6049541,2.5,1.0
05-대학로-가-0049,은행나무,35.89061285,128.6058655,2.5,1.0
05-대학로-가-0026,은행나무,35.88971208,128.6041453,2.5,1.0
05-대현로19길-가-0002,은행나무,35.88500595,128.6140137,2.5,1.0
05-신암로-가-0016,양버즘나무,35.87946701,128.6101837,2.5,1.0
05-대현로-가-0195,왕벚나무,35.88761524,128.6022022,2.5,1.0
05-대현로-가-0007,왕벚나무,35.88724136,128.6019745,2.5,1.0
05-연암로-가-0319,왕벚나무,35.88858908,128.601621,2.5,1.0
05-대구체육관로-가-0020,은행나무,35.89140785,128.6022417,2.5,1.0
05-대구체육관로-가-0025,은행나무,35.89169661,128.6025698,2.5,1.0
05-대학로-가-0278,은행나무,35.88934998,128.6032135,2.5,1.0
05-대학로-가-0286,은행나무,35.88884026,128.6026992,2.5,1.0
05-대학로-가-0253,은행나무,35.89081944,128.6057527,2.5,1.0
05-대학로-가-0029,은행나무,35.88984317,128.6043546,2.5,1.0
05-대학로-가-0004,은행나무,35.88821584,128.6024201,2.5,1.0
05-대학로-가-0007,은행나무,35.88838774,128.6025937,2.5,1.0
05-대현로-가-0008,왕벚나무,35.8871727,128.6019897,2.5,1.0
05-연암로-가-0320,왕벚나무,35.88852381,128.601641,2.5,1.0
05-대현로-가-0163,양버즘나무,35.88517607,128.6044282,2.5,1.0
05-대현로-가-0072,양버즘나무,35.88254505,128.6090475,2.5,1.0
05-대현로-가-0059,양버즘나무,35.88299942,128.6076965,2.5,1.0
05-대현로-가-0064,양버즘나무,35.88282013,128.608139,2.5,1.0
05-대현로-가-0033,양버즘나무,35.88454819,128.6051025,2.5,1.0
05-대구체육관로-가-0042,은행나무,35.89132607,128.6018806,2.5,1.0
05-대구체육관로-가-0050,은행나무,35.89084315,128.6013465,2.5,1.0
05-산격로9길-가-0027,느티나무,35.89303556,128.6028896,2.5,1.0
05-대학로-가-0282,은행나무,35.88910598,128.602982,2.5,1.0
05-대학로-가-0274,은행나무,35.88957004,128.6035211,2.5,1.0
05-대학로-가-0272,은행나무,35.88967134,128.6036721,2.5,1.0
05-대학로-가-0243,은행나무,35.89135988,128.6069031,2.5,1.0
05-대학로-가-0218,은행나무,35.89285577,128.6094867,2.5,1.0
05-대학로-가-0008,은행나무,35.88844191,128.6026506,2.5,1.0
05-동북로-가-0268,양버즘나무,35.89326736,128.6202544,2.5,1.0
05-대현로-가-0156,양버즘나무,35.88466336,128.6052595,2.5,1.0
05-대현로-가-0128,양버즘나무,35.88291803,128.6083239,2.5,1.0
05-대현로-가-0107,양버즘나무,35.88215369,128.6110611,2.5,1.0
05-대현로-가-0051,양버즘나무,35.88357537,128.6067117,2.5,1.0
05-대학로-가-0217,은행나무,35.89291251,128.6095492,2.5,1.0
05-대학로-가-0079,은행나무,35.89176497,128.6081859,2.5,1.0
05-대학로-가-0063,은행나무,35.89113073,128.606901,2.5,1.0
05-대현로-가-0108,양버즘나무,35.88220672,128.610868,2.5,1.0
05-대현로-가-0116,양버즘나무,35.88247002,128.6099315,2.5,1.0
05-대학로-가-0267,은행나무,35.88991472,128.6040468,2.5,1.0
05-대학로-가-0009,은행나무,35.88849445,128.6027029,2.5,1.0
05-대현로-가-0187,왕벚나무,35.88684155,128.6024392,2.5,1.0
05-대현로-가-0168,양버즘나무,35.88550836,128.6038869,2.5,1.0
05-대현로-가-0160,소나무,35.88482565,128.6049945,2.5,1.0
05-대현로-가-0141,양버즘나무,35.88371092,128.6068199,2.5,1.0
05-대현로-가-0142,양버즘나무,35.88375437,128.6067439,2.5,1.0
05-대학로-가-0227,은행나무,35.89213969,128.6084617,2.5,1.0
05-대학로-가-0067,은행나무,35.89128978,128.6072261,2.5,1.0
05-동북로-가-0270,양버즘나무,35.89315939,128.6203938,2.5,1.0
05-연암로-가-0016,왕벚나무,35.88931696,128.6014693,2.5,1.0
05-대현로-가-0125,양버즘나무,35.88276544,128.6088659,2.5,1.0
05-대현로-가-0091,양버즘나무,35.88191986,128.6113586,2.5,1.0
05-대현로-가-0049,양버즘나무,35.88374616,128.6064322,2.5,1.0
